Allele,AUC,PCC
DRB1_0101,0.8417564467232524,0.7030537125628503
DRB1_0103,1.0,0.594618725379069
DRB1_0301,0.8542787872329088,0.6591925803118002
DRB1_0401,0.8533101956402881,0.6934429777795683
DRB1_0402,0.8,0.46381682852195877
DRB1_0403,1.0,0.8511396590310907
DRB1_0404,0.8722771961693517,0.747132941797663
DRB1_0405,0.8645651182886419,0.7412606092687437
DRB1_0701,0.8964555916856465,0.7881639294308038
DRB1_0801,0.8768281101614435,0.7791507268131754
DRB1_0802,0.8230371168652123,0.6562205355786479
DRB1_0901,0.8617846182678568,0.7350365743889771
DRB1_1001,0.938566658421964,0.8453222033749261
DRB1_1101,0.8816416471560391,0.7719217250854377
DRB1_1104,0.6666666666666667,0.7999999999999999
DRB1_1201,0.8611024602927437,0.7339043218147083
DRB1_1301,0.942005242463958,0.8644749016498823
DRB1_1302,0.900268456375839,0.7833233048380147
DRB1_1454,0.8862914862914864,0.7681987218726969
DRB1_1501,0.8536330049261084,0.7276075320826476
DRB1_1502,1.0,0.9856107606091623
DRB1_1602,0.8937278106508876,0.804859406012327
DRB3_0101,0.8463968656581211,0.6614993679337041
DRB3_0202,0.8980319705981149,0.7821390851627015
DRB3_0301,0.8543499511241447,0.6957920326599875
DRB4_0101,0.8359195542739846,0.6659414059115241
DRB5_0101,0.8676032998306856,0.7282512678807147
H-2-IAb,0.8318340829585208,0.5566820617092411
H-2-IAd,0.8571428571428572,0.7239885144455823
H-2-IAk,0.7857142857142857,0.2711630722733202
H-2-IAs,0.6064516129032258,0.5868265524836326
H-2-IAu,1.0,0.942857142857143
H-2-IEd,0.9444444444444444,0.5086362343596026
H-2-IEk,0.95,0.5833333333333334
HLA-DPA10103-DPB10201,0.9467471599128203,0.8867755747599781
HLA-DPA10103-DPB10301,0.9262803234501348,0.8075219938998734
HLA-DPA10103-DPB10401,0.9521069352035005,0.8446810002733461
HLA-DPA10103-DPB10402,0.6666666666666667,0.7142857142857144
HLA-DPA10103-DPB10601,1.0,0.8873546617411915
HLA-DPA10201-DPB10101,0.9301295160190866,0.8477785753713125
HLA-DPA10201-DPB10201,0.8125,0.7186186895447509
HLA-DPA10201-DPB10501,0.9088729016786572,0.7975441712913085
HLA-DPA10201-DPB11401,0.959234022556391,0.81310867080011
HLA-DPA10301-DPB10402,0.9268626328179678,0.8678208882125386
HLA-DQA10101-DQB10501,0.9089409615725405,0.823456736403874
HLA-DQA10102-DQB10501,0.8478877444394687,0.6909667220471732
HLA-DQA10102-DQB10502,0.8237704918032788,0.6851874965690629
HLA-DQA10102-DQB10602,0.8840480783499035,0.7621151706332626
HLA-DQA10103-DQB10603,0.8776223776223777,0.4682035852611495
HLA-DQA10104-DQB10503,0.8366568914956012,0.5956229608609299
HLA-DQA10201-DQB10202,0.7951251646903821,0.6554909408549883
HLA-DQA10201-DQB10301,0.8769475357710653,0.7452746121292878
HLA-DQA10201-DQB10303,0.9310886644219978,0.82091047194801
HLA-DQA10201-DQB10402,0.9243290043290043,0.7826245012581868
HLA-DQA10301-DQB10301,0.9192708333333334,0.808958560252847
HLA-DQA10301-DQB10302,0.8625850340136053,0.7433029761104768
HLA-DQA10303-DQB10402,0.8447058823529412,0.6143514959866939
HLA-DQA10401-DQB10402,0.8858315984270182,0.7702616833882315
HLA-DQA10501-DQB10201,0.8943595769682726,0.7914283804460707
HLA-DQA10501-DQB10301,0.9358393841152463,0.8237366667639019
HLA-DQA10501-DQB10302,0.9042776998597476,0.7480160452600726
HLA-DQA10501-DQB10303,0.9300976800976801,0.73767978490037
HLA-DQA10501-DQB10402,0.9198673666758773,0.8214263430676944
HLA-DQA10601-DQB10402,0.9509232264334305,0.6063622162977854
AVG,0.8817134514688543,0.7325848443724192
Standard deviations,0.07374773634878966,0.11944077891753413
P-value,0.9999999999999951,0.9999999999999991
